userid,newsid,taskid,topic,topic_pref,equality,imp_position,viewport_time,dwell_time,read_ratio,read_speed,direction_change_times,pre_pref,read_pref,post_pref
25,214,1,社会,4,1,15,828.0,,,,,,,4.0
25,73,7,社会,4,0,1,5933.0,22.0,0.582037996546,76.5909090909,4.0,4.0,4.0,4.0
25,3,7,娱乐,5,0,2,17365.0,,,,,,,4.0
25,29,7,科技,4,0,3,25933.0,29.0,0.741397734559,119.620689655,2.0,3.0,4.0,4.0
25,98,7,娱乐,5,1,4,22891.0,,,,,,,4.0
25,60,7,历史,3,1,5,11357.0,55.0,0.582249070632,91.1272727273,12.0,4.0,4.0,4.0
25,54,7,社会,4,1,6,5434.0,29.0,0.758908045977,182.137931034,14.0,3.0,4.0,4.0
25,140,7,体育,3,1,7,14484.0,,,,,,,2.0
25,69,7,科技,4,1,8,21159.0,,,,,,,4.0
25,104,7,历史,3,0,9,22148.0,,,,,,,2.0
25,9,7,体育,3,1,10,20530.0,,,,,,,4.0
25,222,7,历史,3,1,11,17091.0,45.0,0.806149035956,137.511111111,10.0,4.0,3.0,4.0
25,67,7,社会,4,1,12,17828.0,,,,,,,4.0
25,13,7,娱乐,5,1,13,7449.0,,,,,,,3.0
25,173,7,体育,3,0,14,1521.0,,,,,,,3.0
25,93,7,科技,4,0,15,200.0,30.0,0.73164781548,109.966666667,2.0,4.0,4.0,2.0
25,196,9,社会,4,1,1,1266.0,87.0,0.683984542722,73.2413793103,14.0,4.0,4.0,5.0
25,42,9,历史,3,1,2,1544.0,116.0,0.666760543547,81.6379310345,20.0,4.0,4.0,4.0
25,202,9,体育,3,1,3,7739.0,,,,,,,4.0
25,197,9,社会,4,0,4,8751.0,,,,,,,4.0
25,221,9,科技,4,0,5,8643.0,3.0,0.267479472506,358.333333333,1.0,3.0,3.0,4.0
25,126,9,社会,4,1,6,14860.0,,,,,,,3.0
25,159,9,历史,3,0,7,13580.0,,,,,,,5.0
25,72,9,历史,3,1,8,17591.0,,,,,,,4.0
25,65,9,科技,4,1,9,8213.0,,,,,,,4.0
25,187,9,体育,3,1,10,7350.0,,,,,,,3.0
25,115,9,体育,3,1,11,8292.0,,,,,,,3.0
25,109,9,娱乐,5,1,12,11413.0,,,,,,,3.0
25,43,9,娱乐,5,1,13,12136.0,,,,,,,4.0
25,153,9,娱乐,5,1,14,5651.0,,,,,,,3.0
25,146,9,科技,4,1,15,191.0,29.0,0.167314831183,65.275862069,0.0,4.0,3.0,4.0
